ticker,company_name,yahoo_symbol,active
DATA,PT Remala Abadi Tbk,DATA.JK,1
DAYA,PT Duta Intidaya Tbk,DAYA.JK,1
DCII,PT DCI Indonesia Tbk,DCII.JK,1
DEFI,PT Danasupra Erapacific Tbk,DEFI.JK,1
DEPO,PT Caturkarda Depo Bangunan Tbk,DEPO.JK,1
DEWA,PT Darma Henwa Tbk,DEWA.JK,1
DEWI,PT Dewi Shri Farmindo Tbk.,DEWI.JK,1
DFAM,PT Dafam Property Indonesia Tbk,DFAM.JK,1
DGIK,PT Nusa Konstruksi Enjiniring Tbk,DGIK.JK,1
DGNS,PT Diagnos Laboratorium Utama Tbk,DGNS.JK,1
DGWG,PT Delta Giri Wacana Tbk,DGWG.JK,1
DIGI,PT Arkadia Digital Media Tbk,DIGI.JK,1
DILD,PT Intiland Development Tbk,DILD.JK,1
DIVA,PT Distribusi Voucher Nusantara Tbk,DIVA.JK,1
DKFT,PT Central Omega Resources Tbk,DKFT.JK,1
DKHH,PT Cipta Sarana Medika Tbk,DKHH.JK,1
DLTA,PT Delta Djakarta Tbk,DLTA.JK,1
DMAS,PT Puradelta Lestari Tbk,DMAS.JK,1
DMMX,PT Digital Mediatama Maxima Tbk,DMMX.JK,1
DMND,PT Diamond Food Indonesia Tbk,DMND.JK,1
DNAR,PT Bank Oke Indonesia Tbk,DNAR.JK,1
DNET,PT Indoritel Makmur Internasional Tbk.,DNET.JK,1
DOID,PT Buma Internasional Grup Tbk,DOID.JK,1
DOOH,PT Era Media Sejahtera Tbk,DOOH.JK,1
DOSS,PT Global Sukses Digital Tbk,DOSS.JK,1
DPNS,PT Duta Pertiwi Nusantara Tbk,DPNS.JK,1
DPUM,PT Dua Putra Utama Makmur Tbk,DPUM.JK,1
DRMA,PT Dharma Polimetal Tbk,DRMA.JK,1
DSFI,PT Dharma Samudera Fishing Industries Tbk,DSFI.JK,1
DSNG,PT Dharma Satya Nusantara Tbk,DSNG.JK,1
DSSA,PT Dian Swastatika Sentosa Tbk,DSSA.JK,1
DUTI,PT Duta Pertiwi Tbk,DUTI.JK,1
DVLA,PT Darya-Varia Laboratoria Tbk,DVLA.JK,1
DWGL,PT Dwi Guna Laksana Tbk,DWGL.JK,1
DYAN,PT Dyandra Media International Tbk,DYAN.JK,1
EAST,PT Eastparc Hotel Tbk,EAST.JK,1
ECII,PT Electronic City Indonesia Tbk,ECII.JK,1
EDGE,PT Indointernet Tbk.,EDGE.JK,1
EKAD,PT Ekadharma International Tbk,EKAD.JK,1
ELIT,PT Data Sinergitama Jaya Tbk,ELIT.JK,1
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,ELPI.JK,1
ELSA,PT Elnusa Tbk,ELSA.JK,1
ELTY,PT Bakrieland Development Tbk,ELTY.JK,1
EMAS,PT Merdeka Gold Resources Tbk,EMAS.JK,1
EMDE,PT Megapolitan Developments Tbk,EMDE.JK,1
EMTK,PT Elang Mahkota Teknologi Tbk,EMTK.JK,1
ENAK,PT Champ Resto Indonesia Tbk,ENAK.JK,1
ENRG,PT Energi Mega Persada Tbk,ENRG.JK,1
ENZO,PT Morenzo Abadi Perkasa Tbk,ENZO.JK,1
EPAC,PT Megalestari Epack Sentosaraya Tbk,EPAC.JK,1
EPMT,PT Enseval Putera Megatrading Tbk.,EPMT.JK,1
ERAA,PT Erajaya Swasembada Tbk,ERAA.JK,1
ERAL,PT Sinar Eka Selaras Tbk,ERAL.JK,1
ERTX,PT Eratex Djaja Tbk,ERTX.JK,1
ESIP,PT Sinergi Inti Plastindo Tbk,ESIP.JK,1
ESSA,PT ESSA Industries Indonesia Tbk.,ESSA.JK,1
ESTA,PT Esta Multi Usaha Tbk,ESTA.JK,1
ESTI,PT Ever Shine Tex Tbk,ESTI.JK,1
EURO,PT Estee Gold Feet Tbk,EURO.JK,1
EXCL,PT XLSMART Telecom Sejahtera Tbk,EXCL.JK,1
FAPA,PT FAP Agri Tbk,FAPA.JK,1
